id, name, serial, secret, bssid, master-device-key
8265, device-name-fb02759a, fb02759a, abfe170a12c1c05f19239b26d8c45e21757bf3a2, , a8cb4171813ed2099c3aa9a230c145efd333c759
8228, device-name-e0080ef4, e0080ef4, 9f6b8ba51bf17fe556c4637991715f39befb2a0a, , 3150be56bb829794243c8d3c96810b3980f69a2b
8229, device-name-29edec27, 29edec27, 61fd330858f758aaec6db121078c06e77156f082, , 72791acb4a18362947a51743e991c5b1b33747c2
8230, device-name-f1d9de85, f1d9de85, 23734942b82a3046fabf9c10e8f0c1d07622d2d9, , 2e3eb8d817e448a6e0562538d96f0fe3b7491523
8231, device-name-22026826, 22026826, db3c80b1b95edf088389488b7543dda7b118b700, , f72acba76e156ad425dc6b6fe030908dd223d36a
8232, device-name-cfe04ff3, cfe04ff3, e868e2442c6ecab55c4dc8b1bbe713bb68ca2517, , c37ba3d2c494fcf82d0f37f616f2febeb0257f2c
8233, device-name-c499e6f, c499e6f, 19d483ee1066bbc5a69027fc447bcc2fdb230470, , f3ea80726e8e72b45c2d76fea236ce4b368afa13
8234, device-name-32a56634, 32a56634, 9a3ae7244167592425f1f9794693e38649682407, , 9119e7322671ca416dd04bd792599bea62435a0f
8235, device-name-180f2952, 180f2952, 94f98bb2e0f2b14b779e2d38dbc30a7b9325220f, , ce9c4ba672fe888beaf00fcdb753f068c64634e7
8236, device-name-86e6caaa, 86e6caaa, f262ff0866261f42565e951ef4d020d3d0bd352e, , e2f353aad73aade9e3816f2789a1727664268573
8237, device-name-cc0164a9, cc0164a9, 831acec3374e49da007b620a7fd7777329072058, , fa9e990f1253a5429f1ade10b651d4eb238da597
8238, device-name-b02ea4da, b02ea4da, 56ab6a65078739c35bbe65d1c9032e27bc16cf59, , 5e0b40b7b300192e829fe64e3f0f8953103209ad
8239, device-name-72154dc2, 72154dc2, 9664b585b746658fc85fb5a2a46fbf75df393fe5, , 53c4098f9594a200e63841a189f6d4e93e0bcdcd
8240, device-name-d9624328, d9624328, a04d5687815211ad2551f9334495051653c1c9b2, , 8ac740272ae313ef700a587f9a2fe0cbdc1bf91d
8241, device-name-756e6e21, 756e6e21, 8a49f3bceb64e73499ff7f14db5a17074879896f, , e1a2d3a8f6b54378fcb723ee17856391f90fa27e
8242, device-name-5d0816af, 5d0816af, ea7a92e736f398d3b5a84f2f6ea65b9f76ffc5aa, , 4321bd99bf2054db74531f0aac217c0f3352ac98
8243, device-name-562ed08d, 562ed08d, 8e87d23a1641a9522d66495d27775774cc0062d5, , 30a72d0e002420d71adce5eeecea99dbbe89f6d9
